% Model:              version04-chipAndSpace.mph
% Version:            COMSOL 6.1.0.252
% Date:               Aug 31 2023, 16:01
% Dimension:          1
% Nodes:              1965
% Expressions:        21
% Description:        Line graph
% x-coordinate (mm),Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction,Number density reconstruction
-46.3862801007952,0,3.373839891938279E22,6.747679783876613E22,1.0121519675815455E23,1.349535956775311E23,1.6869199459690367E23,2.024303935163107E23,2.361687924356313E23,2.6990719135506073E23,3.03645590274458E23,3.373839891937907E23,3.711223881131782E23,4.048607870326204E23,4.385991859519095E23,4.7233758487126494E23,5.0607598379076474E23,5.398143827101244E23,5.735527816294416E23,6.072911805488853E23,6.410295794683251E23,6.747679783876092E23
-46.27359070157932,0,3.3738418615866035E22,6.747683723173271E22,1.0121525584760442E23,1.3495367446346406E23,1.6869209307931963E23,2.0243051169521034E23,2.3616893031101364E23,2.699073489269267E23,3.0364576754280694E23,3.373841861586233E23,3.711226047744937E23,4.048610233904195E23,4.3859944200619E23,4.7233786062203E23,5.06076279238012E23,5.398146978538562E23,5.735531164696558E23,6.072915350855813E23,6.41029953701505E23,6.747683723172729E23
-46.111039551227805,0,3.3738445195030397E22,6.747689039006146E22,1.0121533558509773E23,1.3495378078012154E23,1.686922259751421E23,2.0243067117019673E23,2.3616911636516445E23,2.6990756156024184E23,3.03646006755286E23,3.37384451950267E23,3.711228971453027E23,4.0486134234039245E23,4.38599787535328E23,4.723382327303315E23,5.060766779254792E23,5.3981512312048615E23,5.735535683154503E23,6.07292013510542E23,6.4103045870563E23,6.747689039005629E23
-45.847788406093926,0,3.373847264755668E22,6.747694529511399E22,1.0121541794267633E23,1.349538905902267E23,1.6869236323777307E23,2.0243083588535406E23,2.361693085328481E23,2.6990778118045183E23,3.036462538280225E23,3.373847264755302E23,3.7112319912309166E23,4.048616717707071E23,4.386001444181692E23,4.7233861706569845E23,5.0607708971337135E23,5.398155623609068E23,5.735540350083959E23,6.072925076560134E23,6.410309803036285E23,6.747694529510868E23
-45.67248540259009,0,3.373848277308606E22,6.747696554617269E22,1.0121544831926469E23,1.349539310923442E23,1.6869241386542018E23,2.0243089663853056E23,2.3616937941155376E23,2.6990786218468682E23,3.0364634495778696E23,3.3738482773082405E23,3.7112331050391457E23,4.048617932770604E23,4.386002760500519E23,4.723387588231098E23,5.060772415963127E23,5.398157243693768E23,5.735542071423971E23,6.072926899155416E23,6.410311726886874E23,6.747696554616751E23
-45.58974846959217,0,3.3738485981390066E22,6.747697196278071E22,1.0121545794417656E23,1.349539439255603E23,1.6869242990693992E23,2.024309158883546E23,2.3616940186968223E23,2.6990788785111882E23,3.036463738325232E23,3.373848598138631E23,3.711233457952581E23,4.048618317767082E23,4.3860031775800425E23,4.7233880373936695E23,5.0607728972087386E23,5.398157757022412E23,5.735542616835642E23,6.072927476650155E23,6.410312336464636E23,6.74769719627754E23
-45.53834463957124,0,3.3738489414846935E22,6.747697882969446E22,1.0121546824454707E23,1.349539576593877E23,1.6869244707422425E23,2.0243093648909564E23,2.361694259038802E23,2.6990791531877407E23,3.036464047336351E23,3.373848941484324E23,3.711233835632844E23,4.048618729781901E23,4.386003623929428E23,4.7233885180776254E23,5.060773412227263E23,5.398158306375508E23,5.7355432005233185E23,6.072928094672391E23,6.410312988821444E23,6.747697882968916E23
-45.17416018996512,0,3.373849357627405E22,6.747698715254873E22,1.0121548072882838E23,1.3495397430509622E23,1.686924678813604E23,2.0243096145765824E23,2.3616945503387053E23,2.6990794861019093E23,3.036464421864798E23,3.373849357627038E23,3.711234293389822E23,4.048619229153155E23,4.3860041649149534E23,4.723389100677435E23,5.0607740364413366E23,5.398158972203849E23,5.73554390796593E23,6.07292884372928E23,6.410313779492584E23,6.747698715254358E23
-44.846415322164646,0,3.3738482357365117E22,6.74769647147308E22,1.0121544707210157E23,1.349539294294604E23,1.6869241178681462E23,2.024308941442044E23,2.3616937650150753E23,2.6990785885891943E23,3.036463412162984E23,3.373848235736131E23,3.711233059309832E23,4.0486178828840815E23,4.386002706456794E23,4.723387530030172E23,5.060772353604982E23,5.398157177178416E23,5.73554200075141E23,6.07292682432566E23,6.410311647899882E23,6.747696471472533E23
-44.806064970228185,0,3.373848738929733E22,6.747697477859529E22,1.0121546216789842E23,1.349539495571893E23,1.686924369464767E23,2.0243092433579828E23,2.3616941172503354E23,2.6990789911437705E23,3.0364638650368885E23,3.3738487389293666E23,3.711233612822382E23,4.048618486715952E23,4.386003360607983E23,4.7233882345006984E23,5.060773108394819E23,5.398157982287572E23,5.7355428561798876E23,6.07292773007346E23,6.410312603967003E23,6.747697477859014E23
-44.78392341259498,0,3.3738485812356876E22,6.747697162471433E22,1.0121545743707715E23,1.349539432494275E23,1.6869242906177415E23,2.024309148741554E23,2.361694006864501E23,2.6990788649885336E23,3.036463723112242E23,3.37384858123532E23,3.7112334393589295E23,4.0486182974830996E23,4.386003155605719E23,4.723388013729023E23,5.060772871853741E23,5.3981577299771E23,5.735542588100002E23,6.072927446224165E23,6.410312304348327E23,6.747697162470905E23
-44.405974432654624,0,3.3738459805382674E22,6.747691961076598E22,1.0121537941615436E23,1.3495383922153071E23,1.6869229902690342E23,2.0243075883231007E23,2.3616921863763072E23,2.699076784430602E23,3.0364613824845667E23,3.373845980537904E23,3.711230578591773E23,4.048615176646193E23,4.385999774699078E23,4.72338437275264E23,5.060768970807615E23,5.3981535688612285E23,5.7355381669143954E23,6.07292276496881E23,6.410307363023252E23,6.747691961076086E23
-44.38500736696008,0,3.3738459716983296E22,6.74769194339672E22,1.012153791509562E23,1.3495383886793314E23,1.6869229858490636E23,2.0243075830191395E23,2.36169218018835E23,2.6990767773586496E23,3.036461374528619E23,3.3738459716979634E23,3.7112305688678454E23,4.0486151660382684E23,4.385999763207164E23,4.723384360376723E23,5.06076895754771E23,5.3981535547173254E23,5.7355381518864994E23,6.072922749056925E23,6.410307346227345E23,6.747691943396187E23
-44.242612175859826,0,3.3738442713980987E22,6.747688542796247E22,1.0121532814194955E23,1.3495377085592392E23,1.6869221356989484E23,2.0243065628390048E23,2.3616909899781877E23,2.6990754171184632E23,3.036459844258422E23,3.373844271397723E23,3.7112286985375874E23,4.048613125678E23,4.3859975528168653E23,4.723381979956406E23,5.060766407097368E23,5.3981508342369566E23,5.735535261376114E23,6.07291968851652E23,6.410304115656919E23,6.747688542795725E23
-43.66683268344896,0,3.3742267550221386E22,6.7484535100443376E22,1.0122680265067066E23,1.349690702008855E23,1.687113377510965E23,2.024536053013426E23,2.3619587285150084E23,2.6993814040176958E23,3.036804079520054E23,3.374226755021768E23,3.711649430524037E23,4.049072106026843E23,4.386494781528111E23,4.7239174570300464E23,5.06134013253343E23,5.39876280803542E23,5.736185483536969E23,6.07360815903979E23,6.411030834542588E23,6.748453510043807E23
-43.270346701033304,0,3.374221769946007E22,6.7484435398920686E22,1.0122665309838651E23,1.3496887079784026E23,1.6871108849728994E23,2.024533061967746E23,2.3619552389617177E23,2.6993774159567905E23,3.036799592951533E23,3.3742217699456444E23,3.7116439469402794E23,4.049066123935483E23,4.38648830092913E23,4.7239104779234675E23,5.061332654919223E23,5.3987548319136106E23,5.736177008907544E23,6.073599185902742E23,6.411021362897948E23,6.748443539891546E23
-43.0733991779614,0,3.374218657353848E22,6.748437314707758E22,1.01226559720622E23,1.3496874629415388E23,1.6871093286768223E23,2.0245311944124544E23,2.361953060147214E23,2.6993749258830636E23,3.036796791618588E23,3.374218657353485E23,3.711640523088905E23,4.049062388824895E23,4.3864842545593386E23,4.723906120294457E23,5.061327986031002E23,5.398749851766155E23,5.736171717500888E23,6.07359358323687E23,6.411015448972847E23,6.748437314707227E23
-42.98997749243447,0,3.3742173957817027E22,6.748434791563463E22,1.0122652187345744E23,1.3496869583126809E23,1.687108697890749E23,2.0245304374691616E23,2.361952177046707E23,2.6993739166253487E23,3.0367956562036495E23,3.374217395781324E23,3.7116391353595457E23,4.049060874938316E23,4.3864826145155405E23,4.723904354093435E23,5.0613260936727816E23,5.3987478332507236E23,5.736169572828228E23,6.073591312406998E23,6.411013051985754E23,6.748434791562935E23
-42.56625764438178,0,3.3742107922909566E22,6.748421584581975E22,1.0122632376873494E23,1.3496843169163823E23,1.687105396145379E23,2.0245264753747126E23,2.3619475546031878E23,2.69936863383275E23,3.036789713061991E23,3.374210792290588E23,3.711631871519727E23,4.049052950749415E23,4.386474029977564E23,4.723895109206402E23,5.0613161884366573E23,5.398737267665529E23,5.736158346893966E23,6.073579426123655E23,6.411000505353344E23,6.748421584581448E23
-42.272411920116554,0,3.3742057926796683E22,6.748411585359399E22,1.0122617378039659E23,1.3496823170718667E23,1.6871028963397324E23,2.0245234756079455E23,2.3619440548752836E23,2.699364634143716E23,3.036785213411831E23,3.374205792679298E23,3.711626371947311E23,4.049046951215883E23,4.386467530482887E23,4.7238881097505913E23,5.0613086890197195E23,5.3987292682874666E23,5.736149847554769E23,6.073570426823336E23,6.4109910060919E23,6.74841158535887E23
-42.12063677362837,0,3.3742031951849843E22,6.748406390370036E22,1.0122609585555606E23,1.3496812780739937E23,1.6871015975923926E23,2.024521917111136E23,2.3619422366290115E23,2.6993625561479757E23,3.0367828756666146E23,3.374203195184613E23,3.711623514703157E23,4.0490438342222604E23,4.3864641537398035E23,4.7238844732580546E23,5.0613047927776996E23,5.398725112295975E23,5.736145431813812E23,6.07356575133293E23,6.410986070851989E23,6.748406390369509E23
-41.99308618680958,0,3.374201334920459E22,6.748402669840968E22,1.0122604004761996E23,1.349680533968183E23,1.687100667460123E23,2.0245208009524152E23,2.3619409344438363E23,2.699361067936352E23,3.036781201428531E23,3.374201334920079E23,3.7116214684121786E23,4.049041601904819E23,4.3864617353959194E23,4.723881868887699E23,5.0613020023809003E23,5.398722135872732E23,5.7361422693641163E23,6.073562402856755E23,6.410982536349385E23,6.748402669840422E23
-41.763119184394405,0,3.374197150026902E22,6.748394300053864E22,1.012259145008135E23,1.3496788600107605E23,1.6870985750133486E23,2.0245182900162843E23,2.3619380050183488E23,2.6993577200215045E23,3.03677743502434E23,3.374197150026529E23,3.711616865029275E23,4.0490365800325585E23,4.386456295034296E23,4.7238760100367224E23,5.0612957250405734E23,5.398715440043042E23,5.736135155045073E23,6.073554870048364E23,6.410974585051644E23,6.748394300053326E23
