-6618,056  3,095602E-11  0  -5,094205E-5  2,328874E-7
-6766,809  1,508488E-10  0  7,794383E-5  -8,453288E-5
-6922,403  5,106315E-11  0  6,524896E-5  -2,064336E-5
-7085,321  9,984158E-11  0  -6,212406E-5  7,572524E-5
-7256,093  3,425327E-11  0  -5,628088E-5  1,686439E-5
-7435,299  1,009805E-10  0  6,394222E-5  -8,122058E-5
-7623,582  3,745346E-11  0  5,967189E-5  -2,46113E-5
-7821,648  6,909839E-11  0  -5,042199E-5  7,449138E-5
-8030,28  1,364543E-11  0  -3,594429E-5  1,980532E-5
-8250,348  9,218904E-11  0  7,60054E-5  -7,895694E-5
-8482,817  2,403986E-11  0  5,230029E-5  -2,399477E-5
-8728,766  7,98981E-11  0  -7,625962E-5  7,639641E-5
-8989,403  3,334284E-11  0  -6,830593E-5  2,21715E-5
-9266,085  5,761018E-11  0  5,341403E-5  -8,133089E-5
-9560,339  2,083145E-11  0  4,978955E-5  -3,413748E-5
-9873,894  3,983455E-11  0  -6,049297E-5  6,143365E-5
-10208,71  1,020382E-11  0  -4,371433E-5  1,115839E-5
-10567,04  5,575461E-11  0  7,802122E-5  -7,63482E-5
-10951,43  2,058528E-11  0  6,836724E-5  -7,176133E-6
-11364,85  5,088547E-11  0  -5,260224E-5  9,906012E-5
-11810,7  1,32212E-11  0  -4,727666E-5  3,598541E-5
-12292,97  3,689843E-11  0  6,852097E-5  -7,73153E-5
-12816,29  1,311356E-11  0  5,944872E-5  -2,426391E-5
-13386,16  3,096388E-11  0  -6,070663E-5  8,32747E-5
-14009,06  1,115488E-11  0  -5,877677E-5  2,712067E-5
-14692,76  2,389348E-11  0  5,349519E-5  -8,373233E-5
-15446,61  6,946821E-12  0  4,79451E-5  -2,956043E-5
-16282,01  2,063539E-11  0  -5,995655E-5  8,292245E-5
-17212,94  5,1643E-12  0  -4,241179E-5  3,361486E-5
-18256,77  1,811101E-11  0  7,982722E-5  -7,198614E-5
-19435,38  7,245111E-12  0  7,06572E-5  -1,567878E-5
-20776,67  1,394161E-11  0  -5,465365E-5  9,236962E-5
-22316,81  4,383054E-12  0  -5,722771E-5  3,00544E-5
-24103,57  9,98622E-12  0  5,650391E-5  -8,895138E-5
-26201,34  3,083471E-12  0  5,402141E-5  -3,366663E-5
-28699,06  7,029612E-12  0  -5,946581E-5  8,686736E-5
-31723,17  2,455887E-12  0  -5,702606E-5  3,845315E-5
-35459,66  3,524715E-12  0  5,230958E-5  -7,580702E-5
-40193,87  8,032043E-13  0  4,225022E-5  -2,643167E-5
-46386,97  2,923478E-12  0  -7,43563E-5  8,069535E-5
-54836,18  8,498811E-13  0  -6,74548E-5  1,847765E-5
-67048,87  1,421513E-12  0  5,070983E-5  -9,828684E-5
-86260,04  2,473317E-13  0  4,739381E-5  -3,572619E-5
-120901,3  4,34131E-13  0  -6,781961E-5  8,687145E-5
-202037,7  5,906035E-14  0  -6,25807E-5  2,642109E-5
-614277,2  1,709297E-14  0  5,362421E-5  -9,731271E-5
590419,3  4,90017E-15  0  4,749613E-5  -3,18382E-5
199387,8  2,133506E-13  0  -7,105082E-5  0,0001057666
119947,3  2,55976E-13  0  -6,522506E-5  5,28662E-5
85773,33  7,388562E-13  0  5,77965E-5  -8,40479E-5
66754,44  6,081358E-13  0  5,909915E-5  -4,116188E-5
54639,08  1,873811E-12  0  -5,86338E-5  8,52619E-5
46245,86  1,222662E-12  0  -5,814381E-5  4,030315E-5
40087,87  3,164888E-12  0  5,918456E-5  -7,894485E-5
35377,14  1,630076E-12  0  5,701962E-5  -2,556675E-5
31657,11  6,524995E-12  0  -6,306168E-5  9,240998E-5
28644,99  2,987482E-12  0  -6,359665E-5  2,544547E-5
